name	pinned_commit	upstream_check_2026-07-22	licence	inspected_path	git_object	reusable_code	reusable_idea	decision	next_gate
BaroFloorHeight	4158e69b1b3d	CURRENT	NONE	Application/src/main/java/xyz/osei/baro/BaroAltitudeFilter.java	ed009d18932eef3d0f12507bdfb702e4d0c0fa87	NO	Stable-before/after pressure and venue-specific storey-height calibration	LEARN-ONLY	Reimplement in FLOOR physical logger and test per venue/device
ESPresense	bd11f5391338	CURRENT	AGPL-3.0	lib/filtering/AdaptivePercentileRSSI.cpp	3e285d79ec8671c7e98ff9bfd463e46d737a2f56	NO-DIRECT	Adaptive percentile/IQR RSSI filtering plus variance and enter/exit hysteresis	LEARN-ONLY	Write independent bounded filter and verify suspected resize edge case
HOV-SG	d6e65a53c8be	CURRENT	CONFLICTING-MIT-ROOT-vs-ACADEMIC-ONLY-README	hovsg/graph/graph.py	f4a81e9b9aadccf2388be062cad2db921e2c8e56	NO	Building-floor-room-object hierarchy; vertical-density floor segmentation; occupancy/Voronoi rooms	HOLD-LEARN	Obtain written commercial terms before any code/data use; benchmark hierarchy separately
LoRaMesher	cba4e4d135e6	CURRENT	MIT	src/protocols/lora_mesh/routing/distance_vector_routing_table.cpp	6d5e070b8a298d2ceb3ebc872fde4404e95d84ad	YES-BOUNDED	Route expiry; EWMA link quality; asymmetric-link penalties; alternatives; TDMA/superframes	ADAPT-SPIKE	Run identical hardware/channel/traffic bake-off against MeshCore
MeshCore	a3a1aa5e3be3	CURRENT	MIT	src/Mesh.cpp	87ad61af2ef884beeb3beeec1f398ab0ed296d91	YES-BOUNDED	Flood/direct path hybrid; compact roles; path learning; airtime-aware delayed forwarding	ADOPT-SPIKE	Isolate radio adapter and protocol fixtures; reject custom crypto; bench against LoRaMesher
NUFR-M3F	e23b8e44f63b	CURRENT	APACHE-2.0-REPO-DATASET-TERMS-SEPARATE	README.md	93a545d9a8677139d45ebfa1e0eeda4318655b4a	NO-PRODUCT	Elevator/repeated-floor/reflection/dynamic-obstruction multi-floor SLAM failure corpus	BENCHMARK	Confirm downloadable asset terms and freeze evaluation-only data manifest
NavCogAndroid	87f6ed2b353e	CURRENT	MIT	app/src/main/java/hulop/navcog/localizers/BleLocalizer.java	5763008921c99bf5ca337b10fc01040b250fb78e	YES-SELECTIVE	Device RSSI bias profiles and phone-model capability gating for altimeter validation	ADAPT-SPIKE	Extract capability-profile tests; do not inherit old Android app stack
PALMS	65c7525cd949	CURRENT	MIT	layout_matching_module/CES.py	316916a08be9ac15ee3ab3d6d5acbdfaa3cb3f13	YES-OFFLINE-TOOL	Certainly Empty Space and plane/floor-plan alignment for previous-visit-free commissioning	BENCHMARK-THEN-ADAPT	Measure relocalisation on permissioned real plan with held-out start poses
RadioLib	0795caa41c63	CURRENT	MIT	src/modules/SX126x/SX126x.cpp	801818767fe2334b8859fa16b04e2ede27f8f1cc	YES-CONDITIONAL	Broad tested radio-chip abstraction and interrupt/sleep/channel-scan controls	HOLD	Adopt only after a custom Loc8 firmware/radio decision survives MeshCore vs LoRaMesher bake-off
Reticulum	122f17fad69a	CURRENT	CUSTOM-RESTRICTIVE-CODE-PUBLIC-DOMAIN-SPEC	RNS/Transport.py	c536f6b2c782234b3e2cf5510eff71ad8161b9f8	NO-CODE	Heterogeneous carrier abstraction; announces; path tables; proofs; links/resources	LEARN-SPEC-ONLY	Map public-domain protocol ideas to Loc8 carrier seam; legal review before reference-code use
